Timestamp,Elapsed_s,Arduino_ms,Raw_mbar,Tared_mbar,TareOffset_mbar
2026-08-14 14:09:15.340,0.083,2412,964.84,-0.01,964.85
2026-08-14 14:09:15.340,0.083,2512,964.76,-0.09,964.85
2026-08-14 14:09:15.340,0.084,2612,964.89,0.04,964.85
2026-08-14 14:09:15.550,0.293,2712,964.89,0.04,964.85
2026-08-14 14:09:15.550,0.293,2812,964.87,0.02,964.85
2026-08-14 14:09:15.758,0.501,2912,964.92,0.07,964.85
2026-08-14 14:09:15.758,0.502,3012,964.86,0.01,964.85
2026-08-14 14:09:15.967,0.71,3112,964.83,-0.02,964.85
2026-08-14 14:09:15.967,0.71,3212,964.9,0.05,964.85
2026-08-14 14:09:16.176,0.919,3312,964.81,-0.04,964.85
2026-08-14 14:09:16.176,0.92,3412,964.84,-0.01,964.85
2026-08-14 14:09:16.383,1.127,3512,964.75,-0.1,964.85
2026-08-14 14:09:16.384,1.127,3612,964.94,0.09,964.85
2026-08-14 14:09:16.587,1.33,3713,964.89,0.04,964.85
2026-08-14 14:09:16.587,1.33,3812,964.86,0.01,964.85
2026-08-14 14:09:16.795,1.538,3912,964.84,-0.01,964.85
2026-08-14 14:09:16.795,1.539,4013,964.9,0.05,964.85
2026-08-14 14:09:16.795,1.539,4112,964.76,-0.09,964.85
2026-08-14 14:09:17.003,1.747,4212,964.81,-0.04,964.85
2026-08-14 14:09:17.004,1.747,4313,964.88,0.03,964.85
2026-08-14 14:09:17.212,1.956,4412,964.81,-0.04,964.85
2026-08-14 14:09:17.212,1.956,4512,964.85,0.0,964.85
2026-08-14 14:09:17.425,2.169,4613,964.82,-0.03,964.85
2026-08-14 14:09:17.426,2.169,4712,964.78,-0.07,964.85
2026-08-14 14:09:17.626,2.37,4812,964.91,0.06,964.85
2026-08-14 14:09:17.626,2.37,4913,964.91,0.06,964.85
2026-08-14 14:09:17.827,2.571,5012,964.92,0.07,964.85
2026-08-14 14:09:17.827,2.571,5112,964.85,0.0,964.85
2026-08-14 14:09:18.028,2.771,5212,964.78,-0.07,964.85
2026-08-14 14:09:18.028,2.771,5312,964.87,0.02,964.85
2026-08-14 14:09:18.240,2.983,5412,964.84,-0.01,964.85
2026-08-14 14:09:18.240,2.983,5512,964.86,0.01,964.85
2026-08-14 14:09:18.447,3.191,5612,964.89,0.04,964.85
2026-08-14 14:09:18.448,3.191,5712,964.93,0.08,964.85
2026-08-14 14:09:18.657,3.401,5812,964.87,0.02,964.85
2026-08-14 14:09:18.658,3.401,5912,964.88,0.03,964.85
2026-08-14 14:09:18.866,3.609,6012,964.99,0.14,964.85
2026-08-14 14:09:18.866,3.609,6112,964.83,-0.02,964.85
2026-08-14 14:09:19.073,3.817,6212,964.88,0.03,964.85
2026-08-14 14:09:19.073,3.817,6312,964.95,0.1,964.85
2026-08-14 14:09:19.283,4.026,6412,964.95,0.1,964.85
2026-08-14 14:09:19.283,4.026,6512,964.85,0.0,964.85
2026-08-14 14:09:19.483,4.227,6612,964.84,-0.01,964.85
2026-08-14 14:09:19.484,4.227,6712,964.9,0.05,964.85
2026-08-14 14:09:19.690,4.434,6812,964.84,-0.01,964.85
2026-08-14 14:09:19.691,4.434,6913,964.91,0.06,964.85
2026-08-14 14:09:19.691,4.434,7012,964.96,0.11,964.85
2026-08-14 14:09:19.895,4.639,7112,964.85,0.0,964.85
2026-08-14 14:09:19.896,4.639,7213,964.92,0.07,964.85
2026-08-14 14:09:20.107,4.851,7312,964.92,0.07,964.85
2026-08-14 14:09:20.107,4.851,7412,964.85,0.0,964.85
2026-08-14 14:09:20.317,5.06,7513,964.89,0.04,964.85
2026-08-14 14:09:20.317,5.06,7612,964.84,-0.01,964.85
2026-08-14 14:09:20.524,5.268,7712,964.95,0.1,964.85
2026-08-14 14:09:20.525,5.269,7813,964.73,-0.12,964.85
2026-08-14 14:09:20.741,5.485,7912,964.93,0.08,964.85
2026-08-14 14:09:20.741,5.485,8012,964.94,0.09,964.85
2026-08-14 14:09:20.946,5.689,8113,964.88,0.03,964.85
2026-08-14 14:09:20.947,5.69,8212,964.86,0.01,964.85
2026-08-14 14:09:21.159,5.902,8312,964.72,-0.13,964.85
2026-08-14 14:09:21.159,5.902,8412,964.9,0.05,964.85
2026-08-14 14:09:21.365,6.108,8512,964.81,-0.04,964.85
2026-08-14 14:09:21.365,6.109,8612,964.88,0.03,964.85
2026-08-14 14:09:21.571,6.315,8712,964.91,0.06,964.85
2026-08-14 14:09:21.572,6.315,8812,964.75,-0.1,964.85
2026-08-14 14:09:21.772,6.516,8912,964.93,0.08,964.85
2026-08-14 14:09:21.772,6.516,9012,964.98,0.13,964.85
2026-08-14 14:09:21.984,6.727,9112,964.87,0.02,964.85
2026-08-14 14:09:21.984,6.728,9212,964.86,0.01,964.85
2026-08-14 14:09:22.192,6.936,9312,964.94,0.09,964.85
2026-08-14 14:09:22.192,6.936,9412,964.95,0.1,964.85
2026-08-14 14:09:22.193,6.936,9512,964.91,0.06,964.85
2026-08-14 14:09:22.401,7.144,9612,964.94,0.09,964.85
2026-08-14 14:09:22.401,7.145,9712,964.93,0.08,964.85
2026-08-14 14:09:22.609,7.352,9812,964.88,0.03,964.85
2026-08-14 14:09:22.609,7.353,9912,964.88,0.03,964.85
2026-08-14 14:09:22.810,7.553,10012,964.9,0.05,964.85
2026-08-14 14:09:22.810,7.553,10113,964.91,0.06,964.85
2026-08-14 14:09:23.013,7.757,10212,964.98,0.13,964.85
2026-08-14 14:09:23.014,7.757,10312,964.95,0.1,964.85
2026-08-14 14:09:23.225,7.969,10413,964.84,-0.01,964.85
2026-08-14 14:09:23.225,7.969,10512,964.97,0.12,964.85
2026-08-14 14:09:23.432,8.176,10612,964.85,0.0,964.85
2026-08-14 14:09:23.432,8.176,10713,964.85,0.0,964.85
2026-08-14 14:09:23.640,8.383,10812,964.96,0.11,964.85
2026-08-14 14:09:23.640,8.384,10912,964.83,-0.02,964.85
2026-08-14 14:09:23.845,8.588,11013,964.86,0.01,964.85
2026-08-14 14:09:23.845,8.588,11112,964.88,0.03,964.85
2026-08-14 14:09:24.054,8.797,11212,964.87,0.02,964.85
2026-08-14 14:09:24.054,8.797,11313,964.89,0.04,964.85
2026-08-14 14:09:24.262,9.006,11412,964.88,0.03,964.85
2026-08-14 14:09:24.262,9.006,11512,964.96,0.11,964.85
2026-08-14 14:09:24.470,9.214,11612,964.95,0.1,964.85
2026-08-14 14:09:24.471,9.214,11712,964.92,0.07,964.85
2026-08-14 14:09:24.678,9.422,11812,964.89,0.04,964.85
2026-08-14 14:09:24.679,9.423,11912,964.85,0.0,964.85
2026-08-14 14:09:24.894,9.638,12012,964.9,0.05,964.85
