Start	2016-03-29	14:02:51	203
	Absolute		Sequence
File	Date	Time	Time [hh:mm:ss]	Time [ms]
01000001.bmp	2016-03-29	14:02:51	00:00:00	15
01000002.bmp	2016-03-29	14:02:51	00:00:00	609
01000003.bmp	2016-03-29	14:02:52	00:00:01	1125
01000004.bmp	2016-03-29	14:02:52	00:00:01	1625
01000005.bmp	2016-03-29	14:02:53	00:00:02	2109
01000006.bmp	2016-03-29	14:02:53	00:00:02	2609
01000007.bmp	2016-03-29	14:02:54	00:00:03	3109
01000008.bmp	2016-03-29	14:02:54	00:00:03	3609
01000009.bmp	2016-03-29	14:02:55	00:00:04	4109
01000010.bmp	2016-03-29	14:02:55	00:00:04	4609
01000011.bmp	2016-03-29	14:02:56	00:00:05	5109
01000012.bmp	2016-03-29	14:02:56	00:00:05	5609
